Constituency_Num,Constituency_Name,Serial_Num,Candidate_Name,Party_Name,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percent,Total_Rounds,Current_Round,State,District,Constituency_Category,Coalition,Election_Year
206,Virudhunagar,9,Ajay I,Independent,532,0,532,0.32,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,10,Gunasundaram R,Independent,204,0,204,0.12,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,11,Gurusamy S,Independent,180,2,182,0.11,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,12,Santhosh Kumar R,Independent,137,0,137,0.08,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,13,Subburaj K,Independent,342,1,343,0.2,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,14,Muthuvel S,Independent,508,1,509,0.3,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,15,Ranjith S,Independent,118,1,119,0.07,23,23,Tamil Nadu,Virudhunagar,General,,2026
206,Virudhunagar,16,Nota,None of the Above,940,14,954,0.57,23,23,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,1,Ramachandran. K.K.S.S.R,Dravida Munnetra Kazhagam,64124,980,65104,36.49,20,20,Tamil Nadu,Virudhunagar,General,SPA,2026
207,Aruppukkottai,2,Sethupathy. S,All India Anna Dravida Munnetra Kazhagam,36783,407,37190,20.84,20,20,Tamil Nadu,Virudhunagar,General,NDA,2026
207,Aruppukkottai,3,Manimaran. G,Naam Tamilar Katchi,8338,161,8499,4.76,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,4,Elango. G,Ezhuchi Tamilargal Munnetra Kazhagam,137,2,139,0.08,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,5,Ganesan. V,Puthiya Makkal Tamil Desam Katchi,194,0,194,0.11,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,6,Karthik Kumar. K,Tamilaga Vettri Kazhagam,59556,605,60161,33.72,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,7,Sanjay Gandhi. V,Desa Makkal Munnetrak Kazhagam,160,0,160,0.09,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,8,Dharmaraj. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1130,17,1147,0.64,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,9,Ragupathi. K,Puthiya Tamilagam,2107,72,2179,1.22,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,10,Arumugam. V,Independent,639,2,641,0.36,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,11,Anandhan. A,Independent,112,3,115,0.06,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,12,Karthik. M,Independent,52,1,53,0.03,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,13,Advocate Sadhuragiri. M,Independent,159,1,160,0.09,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,14,Chinnasamy. G,Independent,75,1,76,0.04,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,15,Sundaramahalingam. A,Independent,120,0,120,0.07,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,16,Sundaramoorthi. S,Independent,424,0,424,0.24,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,17,Sureshkumar. K,Independent,573,0,573,0.32,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,18,Senthilkumar. S,Independent,263,2,265,0.15,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,19,Palanikumar. M,Independent,68,0,68,0.04,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,20,Marivel. K,Independent,48,0,48,0.03,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,21,Muniyandi. M,Independent,79,1,80,0.04,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,22,Ramakrishnan. S,Independent,161,1,162,0.09,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,23,Ramamoorthy. G,Independent,57,1,58,0.03,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,24,Veeraraj. R,Independent,55,1,56,0.03,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,25,Venkatesan. P.S,Independent,49,0,49,0.03,20,20,Tamil Nadu,Virudhunagar,General,,2026
207,Aruppukkottai,26,Nota,None of the Above,666,26,692,0.39,20,20,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,1,Avarangadu Karthik Raja,Naam Tamilar Katchi,12522,241,12763,7.04,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,2,Thangam Thenarasu,Dravida Munnetra Kazhagam,74298,787,75085,41.43,23,23,Tamil Nadu,Virudhunagar,General,SPA,2026
208,Tiruchuli,3,Rajavarman.M.S.R,All India Anna Dravida Munnetra Kazhagam,25205,376,25581,14.11,23,23,Tamil Nadu,Virudhunagar,General,NDA,2026
208,Tiruchuli,4,Kannan.G,Ezhuchi Tamilargal Munnetra Kazhagam,281,0,281,0.16,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,5,Gunasekaran.G,Puthiya Tamilagam,1222,26,1248,0.69,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,6,Samayan.S,Tamilaga Vettri Kazhagam,60912,688,61600,33.99,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,7,Murugesapandian.T,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1097,10,1107,0.61,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,8,Rajkumar.D,Tamizhaga Vaazhvurimai Katchi,119,0,119,0.07,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,9,Vellaisamy.P,Ahimsa Socialist Party,108,0,108,0.06,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,10,Aravinthasamy.J,Independent,65,0,65,0.04,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,11,Kalimuthu.S,Independent,124,0,124,0.07,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,12,Gurusamy.T,Independent,108,6,114,0.06,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,13,Chenna Kesavan.P,Independent,82,3,85,0.05,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,14,Sethuramalingam.S,Independent,245,0,245,0.14,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,15,Advocate Thangapandian,Independent,518,7,525,0.29,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,16,Nallamaruthu.K,Independent,164,0,164,0.09,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,17,Palaniyandi.M,Independent,194,1,195,0.11,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,18,Malai Alagu.M,Independent,631,0,631,0.35,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,19,Marimuthu.M,Independent,392,0,392,0.22,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,20,Marnadu.M,Independent,66,0,66,0.04,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,21,Muniyasamy.R,Independent,77,0,77,0.04,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,22,Rajangam.C,Independent,162,0,162,0.09,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,23,Jeyachitra,Independent,86,2,88,0.05,23,23,Tamil Nadu,Virudhunagar,General,,2026
208,Tiruchuli,24,Nota,None of the Above,407,18,425,0.23,23,23,Tamil Nadu,Virudhunagar,General,,2026
209,Paramakudi,1,Ezhil Elavarasi. R,Naam Tamilar Katchi,15013,350,15363,8.1,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,2,Advocate. Kathiravan. K.K,Dravida Munnetra Kazhagam,58217,944,59161,31.18,25,25,Tamil Nadu,Ramanathapuram,SC,SPA,2026
209,Paramakudi,3,Dr. Muthiah. S,All India Anna Dravida Munnetra Kazhagam,53299,800,54099,28.51,25,25,Tamil Nadu,Ramanathapuram,SC,NDA,2026
209,Paramakudi,4,Amirtha. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,2191,48,2239,1.18,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,5,Rathina Prakash. K,Puthiya Tamilagam,936,68,1004,0.53,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,6,Gopirajan. G,Tamilaga Vettri Kazhagam,54856,757,55613,29.31,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,7,Kathiravan. R,Independent,377,2,379,0.2,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,8,Karthik Vani. B,Independent,230,0,230,0.12,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,9,Muththiah. M,Independent,223,2,225,0.12,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,10,Radha Krishnan. G,Independent,137,1,138,0.07,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,11,Raja. M,Independent,265,3,268,0.14,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,12,Raju. A,Independent,322,2,324,0.17,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
209,Paramakudi,13,Nota,None of the Above,685,25,710,0.37,25,25,Tamil Nadu,Ramanathapuram,SC,,2026
210,Tiruvadanai,1,Rm. Karumanickam,Indian National Congress,66394,644,67038,30.43,28,28,Tamil Nadu,Ramanathapuram,General,SPA,2026
210,Tiruvadanai,2,M.Keerthika,All India Anna Dravida Munnetra Kazhagam,63205,674,63879,29,28,28,Tamil Nadu,Ramanathapuram,General,NDA,2026
210,Tiruvadanai,3,N Premnath,Naam Tamilar Katchi,13224,165,13389,6.08,28,28,Tamil Nadu,Ramanathapuram,General,,2026
210,Tiruvadanai,4,A Muthusamy,Bahujan Samaj Party,256,2,258,0.12,28,28,Tamil Nadu,Ramanathapuram,General,,2026
210,Tiruvadanai,5,R Ilaiyaraja,Indhu Dravida Makkal Katchi,180,0,180,0.08,28,28,Tamil Nadu,Ramanathapuram,General,,2026
210,Tiruvadanai,6,K Kaleeswaran,Tamizhaga Vaazhvurimai Katchi,214,1,215,0.1,28,28,Tamil Nadu,Ramanathapuram,General,,2026
