constituency_no,constituency,serial_num,candidate_name,party,evmvotes,postalvotes,totalvotes,vote_percent,coalition
150,Beldaur,13,Dr. Ravi Kumar,Independent,1902,5,1907,0.88,
150,Beldaur,14,Shiv Narayan Singh,Independent,2863,0,2863,1.32,
150,Beldaur,15,Nota,None of the Above,7976,4,7980,3.67,
151,Parbatta,1,Babulal Shorya,Lok Janshakti Party (Ram Vilas),118259,418,118677,55.18,NDA
151,Parbatta,2,Robin Smith,Bahujan Samaj Party,1759,18,1777,0.83,
151,Parbatta,3,Doctor Sanjeev Kumar,Rashtriya Janata Dal,84253,385,84638,39.36,MGB
151,Parbatta,4,Naresh Prasad Singh,Rashtriya Jansambhavna Party,2221,3,2224,1.03,
151,Parbatta,5,Vinay Kumar Varun,Jan Suraaj Party,3149,47,3196,1.49,
151,Parbatta,6,Nota,None of the Above,4541,2,4543,2.11,
152,Bihpur,1,Kumar Shailendra,Bharatiya Janata Party,91239,219,91458,52.39,NDA
152,Bihpur,2,Krishna Kumar Mandal,Bahujan Samaj Party,1231,5,1236,0.71,
152,Bihpur,3,Arpana Kumari,Vikassheel Insaan Party,61326,107,61433,35.19,MGB
152,Bihpur,4,Pawan Choudhary,Jan Suraaj Party,8789,32,8821,5.05,
152,Bihpur,5,Sanjeev Kumar,Gantantrik Samaj Party,622,2,624,0.36,
152,Bihpur,6,Ajay Kumar Ravidas,Independent,1031,1,1032,0.59,
152,Bihpur,7,Abnish Kumar,Independent,2035,8,2043,1.17,
152,Bihpur,8,Kishor Kumar,Independent,1239,0,1239,0.71,
152,Bihpur,9,Mamta Kumari,Independent,2519,11,2530,1.45,
152,Bihpur,10,Rupam Devi,Independent,868,2,870,0.5,
152,Bihpur,11,Nota,None of the Above,3265,4,3269,1.87,
153,Gopalpur,1,Shailesh Kumar Alias Bulo Mandal,Janata Dal (United),108453,177,108630,56.75,NDA
153,Gopalpur,2,Suman Kumar,Bahujan Samaj Party,1167,4,1171,0.61,
153,Gopalpur,3,Prem Sagar Alias Dablu Yadav,Vikassheel Insaan Party,50399,96,50495,26.38,MGB
153,Gopalpur,4,Bharat Bhushan Ganpati,Lok Shakti Party (Loktantrik),1527,2,1529,0.8,
153,Gopalpur,5,Mankeshwar Singh Alias Mantu Singh,Jan Suraaj Party,4657,44,4701,2.46,
153,Gopalpur,6,Narendra Kumar Niraj,Independent,12657,29,12686,6.63,
153,Gopalpur,7,Piyush Jha,Independent,593,1,594,0.31,
153,Gopalpur,8,Rajiv Kumar Singh,Independent,691,0,691,0.36,
153,Gopalpur,9,Sanjiv Kumar Yadav Alias Moti Yadav,Independent,4467,5,4472,2.34,
153,Gopalpur,10,Soni Bharti,Independent,1647,4,1651,0.86,
153,Gopalpur,11,Nota,None of the Above,4777,5,4782,2.5,
154,Pirpainti,1,Pritam Kumar,Aam Aadmi Party,2191,8,2199,0.89,
154,Pirpainti,2,Murari Pasavan,Bharatiya Janata Party,140370,238,140608,56.81,NDA
154,Pirpainti,3,Ram Vilash Pasavan,Rashtriya Janata Dal,87291,210,87501,35.36,MGB
154,Pirpainti,4,Sunil Kumar Choudhary,Bahujan Samaj Party,1576,10,1586,0.64,
154,Pirpainti,5,Ghanshyam Das,Jan Suraaj Party,5601,43,5644,2.28,
154,Pirpainti,6,Nand Kishor Rajak,Suheldev Bharatiya Samaj Party,488,2,490,0.2,
154,Pirpainti,7,Rajesh Paswan,Bhartiya Lok Chetna Party,533,1,534,0.22,
154,Pirpainti,8,Sahdev Kumar,Peoples Party of India (Democratic),1354,1,1355,0.55,
154,Pirpainti,9,Ashok Kumar Paswan,Independent,2303,0,2303,0.93,
154,Pirpainti,10,Rahul Kumar Paswan,Independent,2533,0,2533,1.02,
154,Pirpainti,11,Nota,None of the Above,2731,5,2736,1.11,
155,Kahalgaon,1,Pravin Singh,Indian National Congress,10043,40,10083,4,MGB
155,Kahalgaon,2,Bhavesh Kumar,Bahujan Samaj Party,1451,2,1453,0.58,
155,Kahalgaon,3,Rajnish Bharti,Rashtriya Janata Dal,80561,94,80655,32.01,MGB
155,Kahalgaon,4,Shubhanand Mukesh,Janata Dal (United),130589,178,130767,51.9,NDA
155,Kahalgaon,5,Nirmal Kumar,Akhand Bhartiya Yuva Party,1345,0,1345,0.53,
155,Kahalgaon,6,Manjar Alam,Jan Suraaj Party,3330,18,3348,1.33,
155,Kahalgaon,7,Anuj Kumar Mandal,Independent,930,1,931,0.37,
155,Kahalgaon,8,Om Prakash Mandal,Independent,760,2,762,0.3,
155,Kahalgaon,9,Pawan Kumar Yadav,Independent,10230,14,10244,4.07,
155,Kahalgaon,10,Mahendra Tanti,Independent,1081,0,1081,0.43,
155,Kahalgaon,11,Ramchandra Mandal,Independent,3385,0,3385,1.34,
155,Kahalgaon,12,Rupam Devi,Independent,3039,1,3040,1.21,
155,Kahalgaon,13,Sanju Kumari,Independent,1639,1,1640,0.65,
155,Kahalgaon,14,Nota,None of the Above,3246,3,3249,1.29,
156,Bhagalpur,1,Ajeet Sharma,Indian National Congress,87058,238,87296,44.28,MGB
156,Bhagalpur,2,Rekha Das,Bahujan Samaj Party,688,6,694,0.35,
156,Bhagalpur,3,Rohit Pandey,Bharatiya Janata Party,100519,251,100770,51.11,NDA
156,Bhagalpur,4,Abhay Kant Jha,Jan Suraaj Party,3203,48,3251,1.65,
156,Bhagalpur,5,S J Vedant,Bhartiya Party (Loktantrik),299,0,299,0.15,
156,Bhagalpur,6,Yogendra Prasad Yadav,Peoples Party of India (Democratic),152,0,152,0.08,
156,Bhagalpur,7,Ravi Kumar Singh,Socialist Unity Centre Of India (COMMUNIST),145,0,145,0.07,
156,Bhagalpur,8,Sanjay Kumar Yadav,Socialist Party (India),275,0,275,0.14,
156,Bhagalpur,9,Chandra Kishore Sah,Independent,291,0,291,0.15,
156,Bhagalpur,10,Dhananjay Kumar Pandey,Independent,302,0,302,0.15,
156,Bhagalpur,11,Nisha Bharti,Independent,1202,2,1204,0.61,
156,Bhagalpur,12,Subodh Mandal,Independent,492,1,493,0.25,
156,Bhagalpur,13,Nota,None of the Above,1970,4,1974,1,
157,Sultanganj,1,Chandan Kumar Alias Chandan Kumar Sinha,Rashtriya Janata Dal,77402,174,77576,36.97,MGB
157,Sultanganj,2,Matiur Rahman,Bahujan Samaj Party,979,1,980,0.47,
157,Sultanganj,3,Lalan Kumar,Indian National Congress,2723,31,2754,1.31,MGB
157,Sultanganj,4,Lalit Narayan Mandal,Janata Dal (United),108523,189,108712,51.81,NDA
157,Sultanganj,5,Banty Thakur,Samata Party,1633,1,1634,0.78,
157,Sultanganj,6,Bipin Kumar Singh,Bhartiya Lok Chetna Party,1021,2,1023,0.49,
157,Sultanganj,7,Rakesh Kumar,Jan Suraaj Party,4364,38,4402,2.1,
157,Sultanganj,8,Sunil Kumar,Socialist Unity Centre Of India (COMMUNIST),1245,0,1245,0.59,
157,Sultanganj,9,Suman Kumar,Jagrook Janta Party,982,1,983,0.47,
157,Sultanganj,10,Ajit Kumar,Independent,4278,8,4286,2.04,
157,Sultanganj,11,Dharmendra Singh,Independent,858,2,860,0.41,
157,Sultanganj,12,Rahul Kumar,Independent,1250,1,1251,0.6,
157,Sultanganj,13,Nota,None of the Above,4106,2,4108,1.96,
158,Nathnagar,1,Mithun Kumar,Lok Janshakti Party (Ram Vilas),117976,167,118143,48.92,NDA
158,Nathnagar,2,Ravish Chandra Ravi Kushwaha,Bahujan Samaj Party,1994,4,1998,0.83,
158,Nathnagar,3,Sheikh Zeyaul Hassan,Rashtriya Janata Dal,92534,185,92719,38.39,MGB
158,Nathnagar,4,Ajay Kumar Roy,Jan Suraaj Party,5194,39,5233,2.17,
158,Nathnagar,5,Md Ismail,All India Majlis-E-Ittehadul Muslimeen,8220,6,8226,3.41,
158,Nathnagar,6,Md Manzar Alam,Bhartiya Party (Loktantrik),216,1,217,0.09,
158,Nathnagar,7,Sushil Prasad Yadav,Peoples Party of India (Democratic),343,1,344,0.14,
158,Nathnagar,8,Aravind Mandal,Independent,452,5,457,0.19,
158,Nathnagar,9,Chetan Ram,Independent,568,0,568,0.24,
158,Nathnagar,10,Jai Prakash Mandal,Independent,1421,2,1423,0.59,
158,Nathnagar,11,Jaykaran Paswan,Independent,465,0,465,0.19,
158,Nathnagar,12,Dayaram Mandal,Independent,419,1,420,0.17,
158,Nathnagar,13,Shanij Kumar,Independent,1647,1,1648,0.68,
158,Nathnagar,14,Sharada Devi,Independent,3433,1,3434,1.42,
158,Nathnagar,15,Sudhir Kumar,Independent,999,3,1002,0.41,
158,Nathnagar,16,Nota,None of the Above,5195,8,5203,2.15,
159,Amarpur,1,Jayant Raj,Janata Dal (United),103717,227,103944,53.51,NDA
159,Amarpur,2,Jitendra Singh,Indian National Congress,70501,222,70723,36.41,MGB
159,Amarpur,3,Md Zakir Hossain,Aam Aadmi Party,2215,6,2221,1.14,
159,Amarpur,4,Roshan Kumar Singh,Bahujan Samaj Party,1510,5,1515,0.78,
159,Amarpur,5,Anil Kumar Singh,Nationalist Congress Party,393,4,397,0.2,
159,Amarpur,6,Sujata Vaidya,Jan Suraaj Party,4753,36,4789,2.47,
159,Amarpur,7,Tripuranand Yadav,Independent,390,2,392,0.2,
159,Amarpur,8,Nazrana Praween,Independent,558,0,558,0.29,
159,Amarpur,9,Naresh Chandra Yadvendu,Independent,455,0,455,0.23,
159,Amarpur,10,Mohammad Furkan,Independent,830,0,830,0.43,
159,Amarpur,11,Ritesh Kumar Jha,Independent,2405,1,2406,1.24,
159,Amarpur,12,Nota,None of the Above,6013,4,6017,3.1,
160,Dhoraiya,1,Arun Kumar Das,Bahujan Samaj Party,1863,3,1866,0.85,
160,Dhoraiya,2,Jitendra Kumar,Rashtriya Lok Janshakti Party,1228,3,1231,0.56,GDA
160,Dhoraiya,3,Tribhuwan Prasad,Rashtriya Janata Dal,90304,281,90585,41.05,MGB
160,Dhoraiya,4,Manish Kumar,Janata Dal (United),112762,249,113011,51.21,NDA
160,Dhoraiya,5,Jethu Das,Rashtriya Jansambhavna Party,1752,2,1754,0.79,
160,Dhoraiya,6,Suman Paswan,Jan Suraaj Party,6258,26,6284,2.85,
160,Dhoraiya,7,Ashok Das,Independent,1795,2,1797,0.81,
160,Dhoraiya,8,Rajnish Kumar,Independent,1139,1,1140,0.52,
160,Dhoraiya,9,Nota,None of the Above,3017,8,3025,1.37,
161,Banka,1,Kundan Kumar Roy,Rashtriya Lok Janshakti Party,1276,7,1283,0.67,GDA
161,Banka,2,Rajnish Kumar Choudhary,Aam Aadmi Party,1167,3,1170,0.61,
161,Banka,3,Ram Narayan Mandal,Bharatiya Janata Party,95413,175,95588,49.58,NDA
161,Banka,4,Vinod Pandit,Bahujan Samaj Party,1773,11,1784,0.93,
161,Banka,5,Kaushal Kumar Singh,Jan Suraaj Party,6612,37,6649,3.45,
161,Banka,6,Sanjay Kumar,Communist Party of India,71641,183,71824,37.25,MGB
161,Banka,7,Avinash Kumar,Independent,1374,1,1375,0.71,
161,Banka,8,Umakant Yadav,Independent,672,2,674,0.35,
161,Banka,9,Md Zamiruddin,Independent,816,26,842,0.44,
161,Banka,10,Jawahar Kumar Jha,Independent,4127,18,4145,2.15,
161,Banka,11,Dr Firoz Ansari,Independent,1590,1,1591,0.83,
161,Banka,12,Manoj Singh,Independent,1103,0,1103,0.57,
161,Banka,13,Vikram Anand,Independent,2240,1,2241,1.16,
161,Banka,14,Sajan Kumar,Independent,990,0,990,0.51,
161,Banka,15,Nota,None of the Above,1547,5,1552,0.8,
162,Katoria,1,Puran Lal Tudu,Bharatiya Janata Party,94070,190,94260,48.07,NDA
162,Katoria,2,Shiv Lal Hansda,Rashtriya Lok Janshakti Party,2256,1,2257,1.15,GDA
162,Katoria,3,Sweety Sima Hembrom,Rashtriya Janata Dal,82979,295,83274,42.46,MGB
162,Katoria,4,Dhena Soren,Socialist Unity Centre Of India (COMMUNIST),1226,2,1228,0.63,
162,Katoria,5,Salomi Murmu,Jan Suraaj Party,2424,19,2443,1.25,
162,Katoria,6,Sushilla Hembrom,Janshakti Vikas Party (Democratic),795,2,797,0.41,
162,Katoria,7,Adhik Lal Marandi,Independent,753,3,756,0.39,
162,Katoria,8,Baliram Murmu,Independent,960,1,961,0.49,
162,Katoria,9,Rekha Soren,Independent,3648,4,3652,1.86,
162,Katoria,10,Soban Murmoo,Independent,1289,1,1290,0.66,
162,Katoria,11,Nota,None of the Above,5183,4,5187,2.65,
163,Belhar,1,Chanakya Prakash Ranjan,Rashtriya Janata Dal,78087,100,78187,34.33,MGB
163,Belhar,2,Manoj Yadav,Janata Dal (United),115285,108,115393,50.66,NDA
163,Belhar,3,Ajay Sharma,Jagrook Janta Party,1444,1,1445,0.63,
163,Belhar,4,Amrit Tanti,Bhartiya Dalit Party,514,0,514,0.23,
163,Belhar,5,Ashok Mandal,Samata Party,424,1,425,0.19,
163,Belhar,6,Girdhari Pandit,Socialist Unity Centre Of India (COMMUNIST),540,2,542,0.24,
163,Belhar,7,Braj Kishor Pandit,Jan Suraaj Party,7690,21,7711,3.39,
163,Belhar,8,Umesh Yadav,Independent,1242,1,1243,0.55,
163,Belhar,9,Girdhari Kumar,Independent,534,0,534,0.23,
163,Belhar,10,Baleshwar Yadav,Independent,581,0,581,0.26,
163,Belhar,11,Mamta Roy,Independent,747,1,748,0.33,
163,Belhar,12,Mithan Prasad Yadav,Independent,3037,1,3038,1.33,
163,Belhar,13,Mehakk Anjum,Independent,1431,2,1433,0.63,
163,Belhar,14,Rajesh Kumar Paswan,Independent,4450,1,4451,1.95,
163,Belhar,15,Lalan Prasad Singh,Independent,6065,0,6065,2.66,
163,Belhar,16,Nota,None of the Above,5461,1,5462,2.4,
164,Tarapur,1,Arun Kumar,Rashtriya Janata Dal,76379,258,76637,35.52,MGB
164,Tarapur,2,Ashish Anand,Bahujan Samaj Party,684,8,692,0.32,
164,Tarapur,3,Rahul Kumar Singh,Aam Aadmi Party,587,3,590,0.27,
164,Tarapur,4,Samrat Choudhary,Bharatiya Janata Party,122199,281,122480,56.77,NDA
164,Tarapur,5,Bharat Mandal,Socialist Unity Centre Of India (COMMUNIST),1142,1,1143,0.53,
164,Tarapur,6,Santosh Kumar Singh,Jan Suraaj Party,3862,36,3898,1.81,
164,Tarapur,7,Sukhdev Yadav,Janshakti Janta Dal,385,2,387,0.18,
164,Tarapur,8,Dipak Kumar,Independent,282,0,282,0.13,
164,Tarapur,9,Priyanka Chauhan,Independent,367,2,369,0.17,
164,Tarapur,10,Bulbul Kumari,Independent,845,3,848,0.39,
164,Tarapur,11,Rakesh Kumar,Independent,2667,0,2667,1.24,
164,Tarapur,12,Shambhu Shankar,Independent,1283,1,1284,0.6,
164,Tarapur,13,Sudhir Singh,Independent,1574,0,1574,0.73,
164,Tarapur,14,Nota,None of the Above,2900,7,2907,1.35,
165,Munger,1,Avinash Kumar Vidyarthi,Rashtriya Janata Dal,88899,379,89278,42.25,MGB
165,Munger,2,Kumar Pranay,Bharatiya Janata Party,107723,305,108028,51.12,NDA
165,Munger,3,Ranvir Sahani,Bahujan Samaj Party,1032,7,1039,0.49,
165,Munger,4,Monazir Hassan,All India Majlis-E-Ittehadul Muslimeen,3558,40,3598,1.7,
165,Munger,5,Vikash Kumar Arya,Socialist Unity Centre Of India (COMMUNIST),398,2,400,0.19,
165,Munger,6,Sanjay Kumar Singh,Jan Suraaj Party,1766,43,1809,0.86,
165,Munger,7,Krishna Mandal,Independent,273,2,275,0.13,
165,Munger,8,Jamuna Lal Srivastava,Independent,322,1,323,0.15,
165,Munger,9,Rakesh Kumar,Independent,529,1,530,0.25,
165,Munger,10,Raja Keshri,Independent,915,2,917,0.43,
165,Munger,11,Santosh Kumar Mandal,Independent,2034,1,2035,0.96,
165,Munger,12,Nota,None of the Above,3069,6,3075,1.46,
166,Jamalpur,1,Kapil Deo Das,Bahujan Samaj Party,1293,14,1307,0.65,
166,Jamalpur,2,Gopal Kumar,Aam Aadmi Party,1413,12,1425,0.71,
166,Jamalpur,3,Nachiketa,Janata Dal (United),96387,296,96683,48,NDA
166,Jamalpur,4,Narendra Kumar,Indian Inclusive Party,60260,195,60455,30.01,MGB
166,Jamalpur,5,Mritunjoy Kumar Singh,Akhand Bharat Vikas Party,789,5,794,0.39,
166,Jamalpur,6,Lalan Jee,Jan Suraaj Party,3807,56,3863,1.92,
166,Jamalpur,7,Ashok Kumar,Independent,452,6,458,0.23,
166,Jamalpur,8,Joone Kumar,Independent,471,1,472,0.23,
166,Jamalpur,9,Nirmaljeet,Independent,552,2,554,0.28,
166,Jamalpur,10,Ravi Kumar,Independent,955,3,958,0.48,
166,Jamalpur,11,Rajesh Kumar Jha,Independent,1063,1,1064,0.53,
166,Jamalpur,12,Shiv Kumar Paswan,Independent,842,3,845,0.42,
166,Jamalpur,13,Shivdeep W Lande,Independent,15538,117,15655,7.77,
166,Jamalpur,14,Shailesh Kumar,Independent,14169,49,14218,7.06,
166,Jamalpur,15,Harsh Vardhan Singh,Independent,893,1,894,0.44,
166,Jamalpur,16,Nota,None of the Above,1768,9,1777,0.88,
167,Suryagarha,1,Premsagar Choudhary,Rashtriya Janata Dal,77831,276,78107,32.75,MGB
167,Suryagarha,2,Rabindra Kumar Das,Bahujan Samaj Party,1702,7,1709,0.72,
167,Suryagarha,3,Ramanand Mandal,Janata Dal (United),101639,329,101968,42.75,NDA
167,Suryagarha,4,Amit Sagar,Jan Suraaj Party,8386,43,8429,3.53,
167,Suryagarha,5,Sharvan Kumar Anand,Samata Party,2032,3,2035,0.85,
167,Suryagarha,6,Pranay Kumar,Independent,2075,6,2081,0.87,
167,Suryagarha,7,Ravishanker Prasad Singh,Independent,37962,213,38175,16.01,
167,Suryagarha,8,Vipin Kumar,Independent,1545,2,1547,0.65,
167,Suryagarha,9,Nota,None of the Above,4449,7,4456,1.87,
168,Lakhisarai,1,Amaresh Kumar,Indian National Congress,97110,358,97468,39.17,MGB
168,Lakhisarai,2,Praval Kumar,Bahujan Samaj Party,1592,1,1593,0.64,
168,Lakhisarai,3,Vijay Kumar Sinha,Bharatiya Janata Party,122009,399,122408,49.2,NDA
168,Lakhisarai,4,Uma Shankar Yadav,Vishvas Yogya Party,1435,0,1435,0.58,
168,Lakhisarai,5,Kusho Mahto,Bhartiya Lok Chetna Party,895,6,901,0.36,
168,Lakhisarai,6,Suraj Kumar,Jan Suraaj Party,8665,57,8722,3.51,
168,Lakhisarai,7,Abhishek Kumar,Independent,713,0,713,0.29,
168,Lakhisarai,8,Amresh Kumar,Independent,468,3,471,0.19,
168,Lakhisarai,9,Amresh Prasad Singh,Independent,594,0,594,0.24,
168,Lakhisarai,10,Ramjee Mandal,Independent,769,2,771,0.31,
168,Lakhisarai,11,Vikash Kumar Jagnani,Independent,2030,0,2030,0.82,
168,Lakhisarai,12,Vijay Kumar,Independent,4045,0,4045,1.63,
168,Lakhisarai,13,Subodh Kumar Suman,Independent,1938,0,1938,0.78,
168,Lakhisarai,14,Nota,None of the Above,5724,7,5731,2.3,
169,Sheikhpura,1,Umesh Prasad Singh,Aam Aadmi Party,2829,5,2834,1.74,
169,Sheikhpura,2,Randhir Kumar Soni,Janata Dal (United),82782,140,82922,50.77,NDA
169,Sheikhpura,3,Vijay Kumar S/O Ganga Kumar Yadav,Rashtriya Janata Dal,60191,184,60375,36.96,MGB
169,Sheikhpura,4,Devendra Kumar,Bhartiya Lok Chetna Party,2042,6,2048,1.25,
169,Sheikhpura,5,Rajesh Kumar,Jan Suraaj Party,4156,28,4184,2.56,
169,Sheikhpura,6,Kundan Kumar,Independent,683,1,684,0.42,
169,Sheikhpura,7,Vijay Kumar S/O Sadhusharan Prasad,Independent,3812,7,3819,2.34,
169,Sheikhpura,8,Virendra Paswan,Independent,1684,1,1685,1.03,
169,Sheikhpura,9,Sunil Kumar,Independent,2368,0,2368,1.45,
169,Sheikhpura,10,Nota,None of the Above,2417,5,2422,1.48,
170,Barbigha,1,Dr. Kumar Puspanjay,Janata Dal (United),61696,186,61882,42.85,NDA
170,Barbigha,2,Trishuldhari Singh,Indian National Congress,36238,151,36389,25.2,MGB
170,Barbigha,3,Murari Kumar,Bahujan Samaj Party,1312,1,1313,0.91,
170,Barbigha,4,Pawan Kumar,The Plurals Party,933,1,934,0.65,
170,Barbigha,5,Mukesh Kumar Singh,Jan Suraaj Party,4644,40,4684,3.24,
170,Barbigha,6,Sikandar Chaudhari,Right to Recall Party,785,0,785,0.54,
170,Barbigha,7,Sanjay Kumar Prabhat,Independent,1440,6,1446,1,
170,Barbigha,8,Satish Kumar,Independent,2368,5,2373,1.64,
170,Barbigha,9,Sudarshan Kumar,Independent,28307,104,28411,19.67,
170,Barbigha,10,Nota,None of the Above,6191,6,6197,4.29,
171,Asthawan,1,Jitendra Kumar,Janata Dal (United),90133,409,90542,52.13,NDA
171,Asthawan,2,Banvari Kumar,Bahujan Samaj Party,1943,3,1946,1.12,
171,Asthawan,3,Ravi Ranjan Kumar,Rashtriya Janata Dal,49579,255,49834,28.69,MGB
171,Asthawan,4,Deepak Kumar Vidyarthi,Socialist Unity Centre Of India (COMMUNIST),1793,1,1794,1.03,
171,Asthawan,5,Lata Singh,Jan Suraaj Party,15874,88,15962,9.19,
171,Asthawan,6,Himanshu Kumar Paswan,Aazad Samaj Party (Kanshi Ram),4748,7,4755,2.74,GDA
171,Asthawan,7,Shabnam Lata,Independent,2313,3,2316,1.33,
171,Asthawan,8,Nota,None of the Above,6541,9,6550,3.77,
172,Biharsharif,1,Omair Khan,Indian National Congress,79767,369,80136,37.27,MGB
172,Biharsharif,2,Manoj Kumar,Aam Aadmi Party,848,2,850,0.4,
172,Biharsharif,3,Valaram Das,Bahujan Samaj Party,1387,9,1396,0.65,
172,Biharsharif,4,Dr. Sunil Kumar,Bharatiya Janata Party,108731,573,109304,50.83,NDA
172,Biharsharif,5,Dinesh Kumar,Jan Suraaj Party,5973,71,6044,2.81,
172,Biharsharif,6,Shiv Kumar Yadav,Communist Party of India,2724,12,2736,1.27,MGB
172,Biharsharif,7,Manoj Kumar Tanti,Independent,6280,35,6315,2.94,
172,Biharsharif,8,Mohit Kumar Alias Kundan Kumar,Independent,3400,5,3405,1.58,
172,Biharsharif,9,Rakesh Paswan,Independent,547,5,552,0.26,
172,Biharsharif,10,Sarswati Kumari,Independent,753,4,757,0.35,
172,Biharsharif,11,Nota,None of the Above,3514,10,3524,1.64,
173,Rajgir,1,Kaushal Kishore,Janata Dal (United),107367,444,107811,57.87,NDA
173,Rajgir,2,Bishwanath Chaudhary,Communist Party of India (Marxist-Leninist) (Liberation),52126,257,52383,28.12,
173,Rajgir,3,Mano Devi,Moolniwasi Samaj Party,2889,2,2891,1.55,
173,Rajgir,4,Satyendra Kumar,Jan Suraaj Party,9817,99,9916,5.32,
173,Rajgir,5,Anjali Roy,Independent,1258,8,1266,0.68,
173,Rajgir,6,Ugrasen Paswan,Independent,1901,3,1904,1.02,
173,Rajgir,7,Vijay Paswan,Independent,3245,4,3249,1.74,
173,Rajgir,8,Nota,None of the Above,6861,9,6870,3.69,
174,Islampur,1,Rakesh Kumar Raushan,Rashtriya Janata Dal,67896,352,68248,36.37,MGB
174,Islampur,2,Ruhail Ranjan,Janata Dal (United),99918,569,100487,53.55,NDA
174,Islampur,3,Bipin Mistri,Bahujan Samaj Party,2707,10,2717,1.45,
174,Islampur,4,Kumar Hari Charan Singh Yadav,Bharatiya Momin Front,437,1,438,0.23,
174,Islampur,5,Tanuja Kumari,Jan Suraaj Party,4724,55,4779,2.55,
174,Islampur,6,Dinkar Kumar,Rashtriya Samajwadi Lok Adhikar Party,157,1,158,0.08,
174,Islampur,7,Vikash Kumar Gaurab,Lohiya Janta Dal,197,0,197,0.1,
174,Islampur,8,Sugouli Prasad,Peoples Party of India (Democratic),286,1,287,0.15,
174,Islampur,9,Ajay Kumar Sinha,Independent,299,1,300,0.16,
174,Islampur,10,Manoj Jamadar,Independent,555,2,557,0.3,
174,Islampur,11,Mitu Kumari,Independent,580,1,581,0.31,
174,Islampur,12,Ranjeet Kumar,Independent,967,0,967,0.52,
174,Islampur,13,Sitaram Singh,Independent,3416,0,3416,1.82,
174,Islampur,14,Nota,None of the Above,4526,6,4532,2.41,
175,Hilsa,1,Atri Muni Urf Shakti Singh Yadav,Rashtriya Janata Dal,79702,295,79997,41.44,MGB
175,Hilsa,2,Kumar Niraj,Rashtriya Lok Janshakti Party,1636,10,1646,0.85,GDA
175,Hilsa,3,Krishna Murari Sharan,Janata Dal (United),95521,488,96009,49.73,NDA
175,Hilsa,4,Amar Singh,The Plurals Party,1086,0,1086,0.56,
175,Hilsa,5,Umesh Kumar Verma,Jan Suraaj Party,4194,58,4252,2.2,
175,Hilsa,6,Prem Kumar,Rashtriya Jansambhavna Party,415,6,421,0.22,
175,Hilsa,7,Vavuchand Chaudhari,Indian National Socialistic Action Forces,662,1,663,0.34,
175,Hilsa,8,Sudhir Kumar,Sanyukt Kisan Vikas Party,935,0,935,0.48,
175,Hilsa,9,Shukesh Kumar,Independent,3336,1,3337,1.73,
175,Hilsa,10,Sachidanand Singh,Independent,858,1,859,0.44,
175,Hilsa,11,Nota,None of the Above,3849,4,3853,2,
176,Nalanda,1,Kaushalendra Kumar,Indian National Congress,72091,333,72424,36.25,MGB
176,Nalanda,2,Priyadarshi Ashok,Bahujan Samaj Party,2485,13,2498,1.25,
176,Nalanda,3,Shrawon Kumar,Janata Dal (United),104942,490,105432,52.77,NDA
176,Nalanda,4,Abhi Kumar,Vikas Vanchit Insan Party,1574,0,1574,0.79,
176,Nalanda,5,Kumari Poonam Sinha,Jan Suraaj Party,5129,77,5206,2.61,
176,Nalanda,6,Gautam Rajvanshi,Moolniwasi Samaj Party,915,1,916,0.46,
176,Nalanda,7,Dilip Kumar,Peoples Party of India (Democratic),631,0,631,0.32,
176,Nalanda,8,Dharmendra Paswan,Rashtriya Samajwadi Lok Adhikar Party,890,0,890,0.45,
176,Nalanda,9,Baijnath Prasad,Bharatheeya Jawan Kisan Party,3579,2,3581,1.79,
176,Nalanda,10,Raushan Kumar,Aazad Samaj Party (Kanshi Ram),1803,5,1808,0.9,GDA
176,Nalanda,11,Nota,None of the Above,4825,4,4829,2.42,
177,Harnaut,1,Arun Kumar,Indian National Congress,58393,226,58619,30.5,MGB
177,Harnaut,2,Dharmendra Kumar,Aam Aadmi Party,2384,3,2387,1.24,
177,Harnaut,3,Hari Narayan Singh,Janata Dal (United),106471,483,106954,55.66,NDA
177,Harnaut,4,Indrasen Priyadarshi,Rashtriya Sanatan Party,1835,5,1840,0.96,
177,Harnaut,5,Kanhaiya Lal Yadav,Bhartiya Party (Loktantrik),1780,2,1782,0.93,
177,Harnaut,6,Kamlesh Paswan,Jan Suraaj Party,7845,82,7927,4.13,
177,Harnaut,7,Dhananjay Kumar,Vikas Vanchit Insan Party,1304,0,1304,0.68,
177,Harnaut,8,Prem Ranjan Kumar,Jantantrik Lokhit Party,886,3,889,0.46,
177,Harnaut,9,Anirudh Kumar,Independent,1126,2,1128,0.59,
177,Harnaut,10,Pintu Paswan,Independent,2785,0,2785,1.45,
177,Harnaut,11,Vinay Bhushan Kumar,Independent,1166,1,1167,0.61,
177,Harnaut,12,Nota,None of the Above,5367,13,5380,2.8,
178,Mokama,1,Anant Kumar Singh,Janata Dal (United),91135,281,91416,49.44,NDA
178,Mokama,2,Dr. Rajesh Kumar Ratnakar,Aam Aadmi Party,2098,2,2100,1.14,
178,Mokama,3,Veena Devi,Rashtriya Janata Dal,63022,188,63210,34.18,MGB
178,Mokama,4,Priyadarshi Piyush,Jan Suraaj Party,19315,50,19365,10.47,
178,Mokama,5,Manju Kumari,Panchpauniya Samaj Party,865,2,867,0.47,
